en,zh
such time as the technology does improve,技术确实改进的时候
sucked up the band member names in a malicious data haul,在一次盗取数据时捎带上了乐队成员的名字
suddenly stressed,突然增加负荷的
supply double that,供应两套这样的虚拟服务器
support escalations,高级服务
support overhead,技术支持成本/费用
supporting collateral,支持数据
Surf Coast Shire Council,冲浪海岸郡议会
surrounding protocols,周边协议
surveillance cameras,监视摄像头
survey,综述
Survivable Remote Site Telephony,可存活远程站点电话
swapping out Visa plastic for a mobile handset,弃用信用卡而改用手机 (来付款)
sweat equity,持续的努力/艰苦的工作
SWF,SWF文件
swipe back to the desktop,再往回一滑，即返回桌面
spending benefits,投资效益
spending sinkhole,无底洞
spindle set,磁盘组，磁盘
spinning-globe map,旋转地球仪
Spreadsheet and Composition,数据表
spreadsheet of likely sales,记录潜在交易的电子表格
spring-loaded folders,自动弹出文件夹
spun metallic finish,镀膜金属（背纹）
squish existing bugs,解決现有的软件错误/缺陷
stack,（分层）套件
Stack security holes exploits,堆栈安全漏洞
staff scientist,在职科研人员/科技(学)工作者
staging,试机/试运行
staging server,登台服务器
staging storage,缓冲‎存储器
swipe the apps up,上滑关闭 app
Staging Tier,分段运输层
Stand out to,脱颖而出
standby,備用措施
switch platform vendors,交换机平台供应商
switch-assisted teaming,交换机支持的（网卡）群组 / 绑定
switching,更换
SXGA resolution,sxga 解像度
symmetric block cipher,对称分块加密法
synthetic benchmarks,合成基准测试
system-critical,对系统至关重要的
tab system,跳键(切换/跳转)系统
tabbed browsing,分页浏览
tabbed conversations,标签式会话窗口
tabletop tests,桌面测试
tacitly,暗示/默认
tactical burden,战术性工作负荷
Start in daemon (background) mode and release terminal (default: off),默认是 <b>daemon off</b>，需要手动改成 <b>daemon on</b>，motion daemon 释放对终端命令窗口的控制权。
Start orb,开始按钮
starter diamond,种子钻石
starting points,原先选播的歌曲
State caching,状态缓存
statements,<b>statements</b>
static,静电噪音
statistical grouping,统计分组
Stay-cation,在家度假
steam,蒸汽
steeper deductibles,更高的免赔额
stem widths,纵向笔画宽度
step,以 6 个月 / 2 年为时间间隔更新
tactile ground surface indicator block,地面触感导向块材
tactile ground surface indicators,地面触感导向
tagging,标示/标记
take a McGruffian bite out of,咬犯罪/坏人一口
take away that market,夺取/占有
take on,接受
take on a life of their own,难以预测
"take you to what you know as init 3, TTY, no X",启动至 init 3 级别，虚拟控制台，不带 X 图形界面
take-down,围捕
steps you through its training,指导你逐步完成其训练，分步骤引导你完成其训练
stick-thin,骨架细小的
sticker overlays,（Google+ Hangouts 聊天程序的）背景图
Sticking your head above the parapet,斗胆
stocker,储料箱/柜
Stonewalling,设阻墙
stop half-way through,路由器不会传到一半就停止
storage frame,存贮架
storage loop,笔套
taking down,使...瘫痪
taking them to a URL,将其发送到 URL
tamper-evident,防揭换
Tangential to these costs,随之而来的
tape-out,完成芯片设计
Targeted alerts,定向提醒
targeted for power reduction,以减少耗电为目标
technical/academic coursework,实用技术课程/学术理论课程
technology instantiation,技术实例（化）
telephony backbone platforms,电话主干平台
teleportation,远距传物
teller,自动取款机
Temperature trips,过热断路/高温断路
temporal data,时态数据
Texting at the Table,吃饭时发短信
that are represented in a space,在空间体现的
that claim rings a familiar bell,这种提法似曾相识
we are thirty months into a thirty-six month contract,三年的合约我们已经走了两年半
We have to recontextualize RSS for the enterprise,иゲ斗穨穝﹚竡RSSず瞇
we lead with the hosted offering,我们首选hosted offering。
Web destination,网站
web presence,网站等
Web Referral Site,推介网站
Web semantics,web语义定义/web语义
web show,网络节目
web site limbo,暂时从网站撤下
web-based email,Web信箱
weights,重块
well positioned,定位很好的
well-implemented,良好实现的
well-practiced,饱经考验，饱经实习，充分实习过的
wet signature,原始签名
whaling,（网络）捕鲸
what makes them tick,对他们非常了解
what those telcos have in mind as they maneuver,它已察觉到了在它背后迂回前进的那些电信公司的打算（想法）
What ways are they all kind of the same?,何以见得它们有几分相同?
Whatever it takes,不管用什么方法
when any of the following happens,在下列情况下
when processor speed bumps announce,当处理器的速度提升以后
where,情况
Where it is doesn’t exist.,(IP)在哪儿并不重要
where services are taken offline,服务下线后
where they fit into the organization,他们在企业中的位置
which,1、修饰HIPS
which alerted people to the issue at scale,很容易引起人们的警觉
which are used differently to conventional computers,其用法与传统电脑有所不同
white brand basis,以“白色商标”为基础
Who gets the last word?,更有话语权？
widgetry,窗口小部件制作技术／技巧
Wiki-simple,像维基一样简单易用的
will be hidden on new installations of an update,将在新的更新安装中被隐藏
Windows and Forms,窗口和表单/窗体
Windows Management Instrumentation,Windows管理规范
Windows on Windows,窗中窗
Windows peers,视窗(Windows)系列
wire protocols,导线协议
wire-speed security processing even at small packet sizes,即使在封包（分组）很小的情况下也能提供线速（迅速）安全处理
wired drop,引线
wired-once,一次性连接/一次连线
wireless network points,无线网站点
wireless store,无线商店
With,至于
with,与......之间的
with all tests and possible record/file sizes,运行所有测试项，自动添加块大小/文件大小参数
Windows To Go,"\""windows to go\""功能"
"wink wink, nudge nudge",拭目以待
with clear separation of concerns,利用明确的关注点分离
with identity and trust expertise,拥有身份和信任机制设计方面的专长
with increasing concurrency,随着并发程度越来越高
with its own internal or DAS,带有内部存储或DAS的小的“标准”服务器。
with Kubernetes,包括Kubernetes的
with no colors blown out at the far end of the scale,在色标的末端无发白现象
with perfect drop-in solutions,完善、现成的方案
with root or enable [privileges],超级或授权（权限）
with varying degrees of sophistication and polish,技术的复杂性和性能的完美性各有千秋
with very little flex,刚性/硬性十足
within the construct of,在......框架中
within the period from the actual date of birth up to 56 days after the expected,如果孩子早产，假期从实际出生日算起，最多到预产期之后的56天为止。
without additional settings available for Apache,不含可用的额外 Apache 设置
top router processes,（使用率）最高路由器进程
touch X button,按x按钮（针对触摸屏）
tough love,原则性的人情
toy rocket launchers,玩具火箭发射器
trace-based,基于轨迹的
track pad,触控板
tracked back to each tabulator,回溯追踪到每个计票器
tracking too closely to,亦步亦趋
trade-in credit,记账信用额
trading exchanges,交易平台
trading off exploration against exploitation,牺牲部分深度了解以换取性能
trailing leaders,后缀前导符
training voucher,培训凭证
Transaction Token,交易令牌
without burning out,耗尽体力、筋疲力尽
without frills,功能简单
won't be scanned for telltale signs of cybercrime,（不过这并不意味着你的网上活动）不会被仔细分析以寻找网络犯罪的蛛丝马迹
work around,解决/应付...问题
work themselves out,自然得到解决
work to the fixes,修补
work-alike,功能相似的
workflow approval,工流批准文件
write up a world description,编写游戏的故事世界
writing messages,发信息
XML façades,XML外观
xx-megapixel CMOS modules,xx-百萬像素CMOS感光件
Yahoo's Pipes,Yahoo管道
You know the drill.,这一切你已经了如指掌
"this is blown up into 3,000 features",分解成3000个特征
This leaves enhanced voice,此外就是增强型语音
this problem didn't exactly sneak up on the industry,這個問題對行業並不全是在不知不覺中潛入的
this side of a forklift,非常方便
transferred the domain into a private account at GoDaddy,把该域名转移到了主机商 Godaddy 的某一私人账户
transformational picture,变革性的景象
Transient Record,暂时(性)记录、临时(性)记录、过渡(性)记录
transition in the company's System x server business,业务转型
transitionally,过渡性的
transparency,认清形势/看准形势/了解情况
tried-and-true,历经检验的
trim of VR,可变电阻器微调
You move from ignorance to compliance jeopardy,你以前是一无所知，现在却面临未遵从法规带来的危险。
"you're going to pay, performance-wise",就得犧牲性能效率
you're in this kind of business,你们的业务是这种/这个
You're speaking to ultimate sign-off,这话涉及到最终的决定
thought leadership,经营理念先导（地位）
three-color Technicolor,三色染印法
three-strikes offenders,连犯三次的累犯
throttling,節流
through the process of elimination,逐个排除
throughout the entire depth of the medium,存储介质的整个纵向空间
Tie,捆绑链路
tier out,分层挑出
tight,非常有针对性的
tilled,推测应为 tiled
Time to market rapidly improving new technology,新技术革新迅速，(需要/能够)及时的推向市场
timestep,时间步长/时步
timing and performance critical,关注时间和性能的
tin,计算机硬件/芯片组/电路板
trimmer,电位器
Trise,温升 (Temperature Rise)
trombone,（不一定非要直接翻译出来）
trunked to,汇聚到
trusted community,可信/安全社区
Tweeners,中间人
Twitter handle,Twitter用户名
typo,我的想法
Typo-squatting,相近/近似域名抢注
ugly,苛刻
ugly URL,不规范的 URL
unadulterated,全力(以赴)
unambiguously defined in measurable terms with a solid deliverable,（每一阶段）目标明确，任务具体，内容量化
unbuildable surface files or haphazardly constructed and translated data,无法用于打印构造的表面文件，或者杂乱地构建和转换的数据
unconnected services,非关联服务
Under paper work 什么意思,FYI
Tipped On Cards,粘贴卡片
title caption,标题说明
titles,应用程序
to be a definition of our own imagination.,我们自己想象（力）的清晰表达/体现
to be reimbursed,等候收款
to corporate VPN software,公司VPN软件
under the hood enhancement,内部改进
under wraps,状况不明
To enable this to be held on the router,为了使它能被保留（存）在路由器中
to excel,出类拔萃
to justify that scale,为了证明搞这么大的规模是值得的
"To know your Enemy, you must become your Enemy",知己知彼、百战不殆
to secure capacity with suppliers for incoming orders,為應付進來的訂單確保供貨商的供應能力
to some effect,有一定效果
to stack up against previous releases,與過往版本比較
"to treat all employees with courtesy, dignity, and consideration.",礼待、尊重和关心全体员工
undocumented scripts,未提供文档说明的脚本
unidentified,未具体指明
unique grip,独特的握法
unit volume,出货量
Universal PCI compliant card,通用PCI兼容卡
University Health Care,犹他大学医疗中心
token,硬件密钥
tokenizing,标记化
Tolerant of transient networks,瞬态网络的容错（功能）
tombstone reanimation,逻辑删除恢复
Too many point products,点式产品
too...to...,……实在太……根本不可以……
took the chance on,借机
tool tip,工具提示
University of Texas System Administration,德克萨斯大学系统之行政部门
unsubsidised price,无补贴价格
until we were within 45 days of going live,正式发布/投入使用前45天
Up and Ready,随时待命的/随时提供的
up and running,启动运行
up for the long haul,做好了作长期战斗的准备／做好了打持久战的准备
up-plugging,向上插入
upcoming and overdue assignments,将要布置和逾期未交的作业
uphold their end of the bargain,履行其所承诺的服务
upwards of 2 million anything is a big outlay,关系到二百万以上数目的任何开支都很大
Urology Clinics of North Texas,北得克萨斯泌尿医院（诊所）
US Federal Rules of Civil Procedure (FRCP) for eDiscovery,《美国联邦民事诉讼规则》（FRCP）中有关电子证据开示的规定
USB keys,USB闪存盘
USB Wi-Fi sticks,USB无线网卡
use cases,使用场合
Use custom settings for history,使用自定义历史记录设置
use strict protocols around passwords,針對密碼使用嚴格的規定
used in anger,实际应用
used up your free photo allotment,用完您的可用照片分配存储空间
user entitlements,用户权限
user generated content,由用户生成的内容
user provisioning,用户配置
user session,访客量
usual suspects,经常被怀疑的对象/问题的一般症结
usually by role,通常按角色来管理
usually reviled,常常遭人骂的
utility,公用设施
utility field,公用设施区
utilization,发挥作用
UXGA resolution,(超)XGA解晰度
V-cards,电子名片
validate,确认
value,"等价/等值服务/""价值"""
Value Driver Tree,价值驱动树/动因树
value proposition,价值主张
value retailer,低价位的时装零售商
value token,值令牌
vardecimal,可變十進位資料儲存格式
Variant calling,变异检测/识别
vehicle,工具
vendor management office,供应商办公室
vertical,业务部门/垂直业务部门
vertical disciplines,垂直体系
vertical fins,垂直鳍
vertical real estate,屏幕高度
Very funny,這還用問
very specific to the way you describe the traffic for constant bit rate voice se,针对固定速率语音服务描述方式
vibrations,共鸣
video burst,视频突发(模式)
view port,视口
viewable,可视面积更大的。
viral fashion,“会传染的时装”
Visibility,知名度
visible or accessible place,容易看见和接近的地点／地方
vocal and partisan,直率又偏袒
Voice Over Misconfigured Internet Telephones,呼叫偷听
Voices,声音/意见/心声
VoIP peering,VoIP对等服务
w,with
w/Password,with Password
waiting to be had,供您选择
walk through,彻底检查……（依上下文而定）
walk-by,跑一趟
walking poles,走路杆
Wall Township Public Schools,沃尔镇公立学校
walled garden,“围墙花园”
WAN head connections,广域网主连接线
wands,扫描笔
warp Web-service standards to its benefit,"挟Web服务标准, 谋一己之私利"
warrior,功能强劲的系统
Washtenaw County,沃什特瑙县
Watch everything work together,监视一切设备协调运作
watchable,清晰的
wayward,无人看管的
That doesn\'t leave many companies.,剩下的就只有几家公司了
that is greatly facilitated by SAML,被SAML大大简化了的(那一部分)
"that run as numerous, horizontal layers throughout the enterprise",企业上下众多层次的
that you’re not prepared to lose,若是不想丢失数据
That's the floor,这是基本的要求。
that's what we're led to believe,意译：或至少是看来如此
that's what's out there,Web 服务器是在明处
that’s almost all servers,可以在几乎所有的服务器上使用； 适用于几乎所有的服务器
That\'s more than a nod towards controversies,这表现出他相当支持在2000年代初期引起争议的做法。
the 3D representation of the in-line instruments,在线仪器的3D表示
"the annoying  ""ala""",以...形式
The arguments to each vary slightly,针对每个群体的措辞有所不同
The benchmark you're starting from isn't the best-case scenario,你最初采用的基准不是最佳方案
the best of both worlds,两全其美
the bucket of data,搜索范围
the butts remain decisively kicked,一蹶不振
the changes are here to stay,这些变化已成定局
The Conference Board,美国经济咨商局
The cool part of the story,故事精彩的部份
The differences that Tesla represents to the auto market,在汽车市场中，特斯拉有着种种卓尔不凡之处
the direction of traffic in real time,实时 ... 数据传输方向
the equivalent,映像
The first reason is simplicity,首先是因为简单
the flattest forms,最简易(普通)的形式
the frames of eyeframes,眼镜框架
the grand scheme of,大局势
the groovy geek in the black turtleneck,衣著入時的電腦奇才
the heft and finances to roll up ‘best of breed’ innovation,best of breed innovation 业界最佳创新产品
the last two,最后的两个人
The long view on Longhorn,遥看“长角”几多长
The next thing you know,随后你会知道
the noise level of attacks,攻击强度/攻击程度/攻击火力
the number of drives,驱动器的数量
the objections to Linux had melted enough to justify the gamble,反对部署Linux人已经开始支持这个赌博了
the only game in town,市场上并不是只有Wi-Fi这一台/出戏
the otherwise celebrated,于其他场合被颂扬的
the outsourced,接包方
the people on the ground,一线员工
the percentage of time,机率
the perspective represented by,所呈现的视角
the price is easy to justify,这价格物有所值
the price is what the price is,不二价
the price of admission,入场券
the process,角色管理任务/工作
the product of misinformation spread to promote competing agendas.,(这是竞争对手)为了推进各自的工作议程而发布不实信息的结果
the real thing,官方 Chrome 版本
The recession is pocketed.,衰退是局部性的
the risk-reward trade-off on value for the enterprise,企业价值的风险收益平衡点
the same characterization in aggregate,网络级别的总吞吐量
The Sedona Conference® RFP+ Vendor Panel,Sedona Conference® RFP+供应商专门小组
the sound of crickets chirping,鸦雀无声
the source,源代码
the sun was setting on open source,开源已经日薄西山
the tapes are presumed lost,推测这些磁带已经丢失
the total experience of working with (or at) the company,工作集体的归属感
the unions,工会
The USB extension folds out of the card,充电卡的 USB 延长线弯出卡身
the value end of the market,低端市场
the way that cybercrime is predominantly executed,网络犯罪的主要方式
their fit within women's lifestyles and life stages,它们在女性生活方式与不同生活阶段中所扮演的角色
then extend that to make specific resource decisions,然后在此基础上作出具体的资源配置决策(断)
then plan everything backwards from there,然后再根据这些假设，回头规划各个环节
therapeutic,令人不再担心
there is no central mandate for,没有对...统一的硬性规定/要求
There was a lot of back and forth,反复磋商/协商
there's no getting around it,这是不可避免的
There's no reason mobile apps can't be powerful,移动应用程序可以有强大的功能
there’s all that spam,总有病毒或总有垃圾邮件
There’s everything you need in a traditional system,传统系统有的功能/服务它都有
These products,这些工具
they don't have any use for cooperation,它们（竞争、合作与机会）对合作没有任何用处
they self-insure each other,"他们利益共享,风险共担/他们自发互保."
they're coming in at relatively high levels,他们提出的要求相对较高
they're not anxious to give that up,不急于放弃它
thick and fast,接踵而至/好事连连
thin-provisioning software,精简自动配置软件
thinking about the user in multiple contexts,考虑到用户在多种情况下的使用需求
this,這個
This crowdsourcing for travel,在旅行时，这种众包方式可以/丰富的旅行信息
This is an interaction with Adobe’s Flash player,对该功能的处理，涉及与 Adobe Flash 播放器的互操作
you’re not far off,你这么认为也并不离谱／并不为过
your head balanced above your neck,把头放端正
zero to zero position,零對零关税
ZIP archive,ZIP 存档
Zoom in tight,桌面全景缩微
[of the biometric],生物特征
